Bmag,monomers,tetramers,npanels
40.0478363959902,241,0,316
40.1414212503743,232,0,316
25.1470336222784,249,0,315
25.2521464434214,268,0,314
25.2282143640805,262,0,315
25.2122668556399,275,4,314
25.2122668556399,256,0,315
24.990578224603,269,0,315
24.8912675450649,267,0,315
24.9946234218481,255,0,314
24.9888074945564,266,0,315
25.1479502146795,253,0,315
25.1486619922413,268,0,313
24.9888074945564,248,4,316
24.9895598200529,256,0,314
24.9155092261828,260,0,315
24.9188222033065,250,0,314
24.9127055937327,266,0,314
25.0049995001,268,0,314
11.9511171025976,267,0,313
11.9773828526937,258,0,316
11.9692940476872,260,0,315
12.0425661717094,248,0,316
12.0871874313258,248,0,316
12.0913357409345,238,0,315
12.0871874313258,256,4,316
11.9692940476872,245,4,316
11.957779894278,257,4,314
12.0959497353453,256,0,315
12.0424914365757,253,0,315
12.0425661717094,246,8,315
11.9670965568094,258,8,314
11.9729904368124,241,8,314
12.0921503464024,236,12,314
12.0425661717094,230,12,314
11.957529008955,233,12,315
11.957529008955,223,20,315
11.9645476303954,233,16,315
12.0425661717094,238,16,315
11.9574286533519,236,16,314
11.9649153778871,223,16,315
12.0139960046606,229,16,315
12.037628503987,226,20,313
12.0425661717094,219,16,315
11.9568432288794,223,16,314
12.037628503987,224,16,314
12.083894239855,220,16,313
12.0880188616663,209,28,315
11.9958159372341,212,20,315
12.083894239855,193,16,314
12.0609535278103,203,16,314
12.0673112166713,213,16,315
5.01806735706088,124,20,316
5.00800359424791,99,24,315
5.00776397207376,69,48,314
5.00776397207376,62,56,315
5.02015936002036,63,72,315
5.01937247073775,49,72,315
4.99924994374156,46,76,315
4.99267463390115,44,76,315
4.98550900109507,44,88,316
4.97853392074414,38,88,315
5.01003992000064,36,92,315
4.99937996155523,35,88,315
5.03525570353681,27,92,315
4.99249436654665,25,88,315
5.01585486233404,25,88,315
5.01585486233404,25,92,315
5.01585486233404,25,96,315
5.03525570353681,26,96,315
5.03525570353681,25,96,315
5.03525570353681,24,100,315
5.04528492753383,24,100,315
5.04528492753383,22,100,315
5.04528492753383,19,104,315
5.05430509565855,20,108,314
5.05430509565855,20,104,315
5.02195181179589,21,104,315
5.01003992000064,20,104,314
5.01422975141746,21,112,315
5.03438178925675,20,112,314
5.00201959212476,21,120,314
4.99225399994832,20,120,314
5.03015904321126,18,116,315
25.0260983774938,66,72,315
24.8866590767021,163,24,315
24.9489819431575,170,20,315
24.9557408225042,194,12,315
25.1816619785113,181,8,315
24.8894053765854,180,8,315
25.0171481188404,181,8,313
24.9438268916379,204,12,314
25.101691178086,218,8,315
25.1673935877357,214,4,315
25.1023684141557,209,0,314
24.9669261223724,211,4,315
24.9595773201391,208,4,315
25.0081986556409,210,4,315
25.0081986556409,217,0,315
25.0081986556409,205,4,314
25.1199522292539,225,0,314
11.9719714333104,226,0,314
11.9814898906605,224,4,315
11.9911383946646,220,4,316
12.0352565406808,199,8,314
11.9743601081644,203,8,315
12.0108326106061,197,16,315
12.0352565406808,214,12,315
12.0211147569599,197,12,314
12.0352565406808,198,16,315
12.0843121442637,191,16,315
12.092828453261,190,20,314
12.0898180300615,194,16,314
11.9781008511366,182,16,314
12.023984364594,172,16,315
12.0224997400707,167,24,314
12.092828453261,161,24,315
12.092828453261,172,28,314
12.0039076970793,162,24,313
11.9616136035236,155,32,314
11.9812895800077,167,32,315
12.0953296771936,156,36,314
12.0925100785569,162,32,316
12.0224997400707,155,36,315
11.9824288022087,157,36,313
11.9632771429905,154,32,314
12.0865296921821,156,36,314
12.1008470777876,149,32,315
12.0943003104768,153,44,316
11.9850949099287,150,44,314
12.0925100785569,150,40,314
11.950916282863,158,40,315
12.0953296771936,159,44,314
11.9781342453656,144,40,313
5.04115066229923,104,44,315
5.04115066229923,74,44,315
5.02841923470985,67,48,314
5.03271298605434,51,52,314
5.03508689100794,53,60,313
5.01367130952957,50,72,314
4.99489739634359,42,68,313
4.99596837459966,40,76,314
5.05558107441667,43,84,314
4.98744423527722,41,88,314
5.05558107441667,38,80,314
5.04405590769968,41,88,314
5.00521727800103,36,100,314
5.00785383173271,36,100,314
4.98744423527722,36,100,313
4.99268464856334,36,100,313
5.00024999375031,34,100,314
5.02108554000029,35,96,314
5.02108554000029,31,108,314
4.99268464856334,33,112,314
5.04731611849307,31,112,314
5.0062460986252,33,112,313
5.04800950870737,29,112,313
5.04699910838114,29,116,314
5.02244960153907,30,112,313
4.98943884620305,28,116,314
5.04007936445449,26,112,314
5.03460028204822,27,116,314
5.03786661196979,26,108,314
5.00764415668685,29,112,315
5.03460028204822,28,112,313
5.04983168036322,27,120,313
25.0650354079143,55,72,314
25.0349935090864,129,20,315
25.0356106376497,141,16,314
24.9853817261214,163,16,315
25.0650354079143,154,20,315
25.02227008087,177,12,315
25.2424444141212,179,12,314
25.2061262394681,176,12,314
25.1592786065102,171,16,314
25.1417759913654,180,12,315
25.117637229644,192,12,315
25.0506387144121,181,12,313
24.9973118554776,171,12,316
25.0224099558776,182,12,315
25.1505268334482,183,12,316
24.9541219040062,189,12,315
25.0028018429935,189,12,316
12.0112613825526,181,12,316
12.0429273849841,170,24,314
12.0682144495364,181,20,315
12.0526843483101,176,24,315
12.0549574864452,170,40,314
12.0640499004273,172,32,314
12.0640499004273,171,40,315
12.0799420528411,151,32,316
12.0799420528411,164,32,315
12.0598922051567,170,32,315
12.0598922051567,159,40,315
12.064841482589,170,36,315
12.0408139259769,161,36,315
11.9612081329605,157,44,315
12.0451234945932,157,52,316
12.0180697285379,159,40,316
12.0180697285379,148,36,315
12.0170919943221,150,48,315
12.0170919943221,154,56,316
12.0799420528411,148,52,315
12.0830832158022,133,56,314
12.0830832158022,149,48,315
12.0504979150241,140,48,315
12.0504979150241,135,52,315
12.0504979150241,145,48,315
12.0161225027044,140,48,315
11.9990832983191,145,44,315
12.073591015104,149,52,314
12.073591015104,119,52,315
12.0767421103541,138,52,314
11.9822034701469,141,60,315
12.05,139,56,315
12.05,136,68,315
5.02895615411389,113,60,314
5.01323249012052,83,68,314
4.99164301608198,76,76,314
5.03438178925675,62,80,313
4.98786527484454,66,84,313
4.99164301608198,65,92,314
5.05542283098061,58,108,314
4.9703118614429,49,112,313
4.99985999803995,51,108,313
5.00756427816958,48,116,313
5.06320056881021,48,116,314
5.03531528307811,48,116,313
5.04227131360461,46,116,314
5.02020915898929,44,124,314
5.03531528307811,40,120,314
5.03509682131337,40,124,315
4.99543791874146,39,124,314
5.01569536555003,35,120,314
5.05542283098061,32,116,313
5.01897399873719,32,116,314
5.0119257775829,32,116,313
5.06320056881021,33,116,314
5.00119985603455,33,116,313
5.04913854038488,31,112,314
5.03605003946545,28,108,314
5.03075541047267,28,116,314
4.99384621309067,31,132,314
5.0317790094558,32,128,314
5.0317790094558,28,132,314
5.02698716926948,27,128,314
5.03245466944313,28,124,313
5.02319619365997,28,120,314
25.0214388075506,54,100,314
24.8856665572775,112,44,314
24.9622374798414,161,36,314
25.1733986581073,154,28,314
24.9626941654942,181,28,314
25.0425957121062,183,28,314
24.9693111639068,170,28,314
24.9634633013931,160,28,314
24.9652558568904,177,28,314
24.9554182493502,189,28,314
24.9554182493502,186,32,315
25.0425957121062,185,28,315
25.1625117983082,186,28,315
25.0066971029762,188,28,314
24.9872167317611,184,28,315
25.15297596707,192,28,314
25.0073629157494,180,28,314
11.9521755341862,188,28,314
11.9507029081975,174,32,314
11.9966703713989,178,32,315
12.0116276998582,178,32,314
12.0821604028419,179,36,313
12.0050031236981,177,36,314
12.0158728355455,167,40,314
12.0082388383976,165,44,314
12.1064032643886,164,40,315
11.9966703713989,163,44,315
12.0011541111678,161,40,313
12.1064032643886,168,48,315
11.9966703713989,154,52,315
12.0635069527895,163,52,314
12.058789325633,167,48,314
12.0786464473467,164,52,314
12.0168631514218,166,52,315
12.0092797452637,165,48,315
12.0190390630865,162,48,315
12.0751397507441,158,52,315
12.023414656411,156,48,315
11.9848237367097,154,56,314
12.0635069527895,167,60,314
12.0615463353585,165,56,314
11.9499372383289,159,56,314
11.9848237367097,157,52,314
12.0635069527895,141,52,315
11.9499372383289,146,56,314
11.990050041597,137,56,315
12.0635069527895,145,56,313
12.0225122166709,152,56,314
12.0810098915612,145,60,314
12.0592081000371,131,56,314
5.03062620356552,104,56,313
4.99631864476236,76,64,314
5.0205378197958,70,68,313
5.0167419706419,61,92,314
5.0167419706419,59,96,313
5.03062620356552,50,108,314
5.03062620356552,47,112,314
5.0167419706419,45,112,314
5.03707256251089,40,104,313
5.04286624847418,38,112,313
5.04286624847418,40,112,314
5.00129983104393,40,120,314
5.00488761112575,42,120,314
5.03507696068293,44,116,313
5.0293538352357,41,112,313
5.03557345294456,44,120,314
5.04876222454574,39,116,314
5.00233945269611,41,116,314
5.00488761112575,38,128,314
5.02896609652521,35,132,314
5.02319619365997,40,128,313
5.0293538352357,41,128,313
5.03707256251089,39,132,314
5.01897399873719,38,140,314
5.00140980124604,38,128,313
5.02299711327809,32,132,314
4.9985998039451,34,136,314
5.05581843028406,36,140,314
4.9985998039451,36,144,314
5.00444802151046,32,144,313
5.02067724515329,35,144,313
5.02067724515329,33,148,314
25.0659869145422,40,128,314
25.0649875324126,113,44,316
25.0649875324126,133,36,314
24.8856203458945,154,36,314
25.0649875324126,165,32,314
25.0049995001,164,32,314
25.0049995001,168,36,314
24.9615464264536,158,28,315
25.1179378134432,171,28,315
25.1601112875122,175,28,315
25.1341142672663,188,32,315
25.0639921002222,181,28,314
25.0418250133651,174,24,315
24.9972038436302,167,24,315
24.9972038436302,183,24,314
24.9992099875176,186,24,314
25.0620130875395,180,24,315
12.0149989596337,182,28,314
11.9692313871861,183,32,314
11.9724099495465,174,32,314
12.0391403347581,186,28,314
12.0341181646185,176,32,314
12.0581010113533,162,44,314
11.9862963420733,168,44,314
12.1060728562156,167,40,315
12.1060728562156,168,40,314
11.969314934448,164,44,313
11.9725185320383,162,44,313
11.9725185320383,160,48,313
11.9725185320383,151,52,315
12.0306317373611,137,52,314
12.0581010113533,153,52,315
12.0489086642733,148,52,314
11.9789482009065,145,60,315
12.0448495216835,146,60,314
12.0581010113533,148,56,314
11.9707978013163,152,52,314
11.9971871703329,150,56,314
12.0383387558251,143,60,314
11.9971871703329,151,60,314
11.9781008511366,138,56,313
11.9791902898318,143,60,314
11.9697326620105,143,64,314
11.9729862607455,154,64,314
12.1026649957768,147,60,314
12.0135007387522,136,72,314
11.9785850583447,137,64,312
12.0968921628656,133,68,313
11.9666912720267,131,68,314
11.961003302399,133,72,314
5.00129983104393,95,84,314
5.02322605503674,78,80,315
5.00912167949632,75,88,315
4.99299509312797,68,100,314
5.02322605503674,64,104,314
4.99812965017915,58,104,314
5.00687527306203,61,108,314
4.99812965017915,58,116,314
5.03849183784196,58,116,314
5.04840568892794,53,116,314
5.04840568892794,50,124,315
4.99916993109856,53,124,314
5.00569675469859,44,124,315
5.04840568892794,40,128,314
5.03170945107128,43,128,315
5.02287766126152,39,128,314
5.02436065584468,40,124,314
4.99916993109856,36,144,315
5.0259426976439,36,144,315
5.00912167949632,34,144,314
5.05024751868658,34,144,314
5.02913511451025,35,140,314
5.0113870335467,31,144,314
5.02493781056044,31,144,314
5.03432219866786,31,144,315
4.99907991534442,31,144,315
5.0113870335467,26,144,314
5.05633266310673,26,144,314
4.99713918157179,28,144,314
4.99265460451652,25,144,314
5.04206306981577,22,144,314
5.00080993440063,23,148,314
25.0401377791737,110,56,314
24.8803938875573,122,40,314
24.9806024747203,127,44,315
25.015956907542,139,32,314
24.9714236678648,138,32,315
25.1028046241849,145,36,314
25.0246298673926,142,40,314
24.9622855524089,152,32,314
25.0840028703554,155,36,314
24.8813383884388,143,36,314
24.9572133861134,151,40,314
24.9531480979856,158,32,314
24.883450323458,152,36,314
24.8887524797849,165,28,314
25.0675287972309,149,28,314
24.8908919084873,152,36,314
12.0025705580096,152,32,314
12.001870687522,155,32,315
12.0369846722508,164,32,315
11.9395309790628,158,32,316
11.9452459162631,155,36,313
12.1070310150755,149,48,315
12.0812333807439,151,48,315
12.0646467001732,148,44,315
12.0090174452367,149,48,315
11.950966488113,145,56,314
12.0646467001732,139,56,314
12.0570352906509,121,56,314
11.9484978135329,134,60,314
12.0001416658305,126,60,314
12.0001416658305,133,56,314
12.0001416658305,113,60,314
11.9582314745952,122,56,314
12.0001416658305,124,68,315
12.0148449844349,117,60,314
12.0067481026296,115,72,314
12.0609535278103,116,80,313
11.9517906608173,112,68,314
11.9912676560904,111,72,314
11.9493639998119,117,76,313
11.9912676560904,107,76,313
12.0572675179744,103,64,314
11.9551244242793,104,76,313
11.9912676560904,108,76,314
11.9912676560904,102,72,314
12.0697514473166,101,76,313
12.0572675179744,103,84,314
12.0762784002357,112,92,314
12.0762784002357,108,100,314
5.01379098088462,94,92,314
4.99712917583686,72,96,315
5.0093612367247,69,100,315
5.0027592386602,59,92,314
5.01942227751362,53,104,314
5.00464783975856,46,100,313
5.03135170704653,45,112,314
5.05341468711999,43,120,313
5.00764415668685,42,124,313
4.9896392655181,41,132,315
4.99200360576793,34,128,314
4.99057110960259,35,132,312
4.99524774160401,31,132,313
5.00687527306203,32,136,313
5.01024949478566,34,140,314
4.99712917583686,33,136,313
5.03079516577648,31,132,313
5.02020915898929,27,136,313
5.02155354447207,28,132,313
5.04590923422132,26,144,313
5.02538555734781,26,144,314
5.01760899233888,25,140,314
4.97041245773427,23,140,314
4.96789693934969,25,136,313
5.02347489294015,25,136,313
5.0442938058761,23,136,313
4.99265460451652,23,144,314
5.02347489294015,22,152,314
4.98506770264958,19,152,314
5.04590923422132,20,144,313
5.02000996014948,21,152,314
4.99375610137299,19,148,314
5.02388296042016,19,152,314
25.0453848043906,101,56,314
24.9987779701329,94,64,314
24.9813870711776,113,60,315
25.1224142948085,109,52,315
25.1438282685831,120,44,314
25.0442847771702,117,48,314
25.0315081447363,117,44,314
24.9789231152986,120,48,316
24.9847673593332,113,48,315
24.9886154078212,112,48,315
25.0402276347481,119,52,315
25.1128174444844,120,44,314
25.1710567914818,136,48,315
25.1435956060385,137,48,314
24.9869405890357,131,48,314
25.1197651262905,128,48,315
12.0980204992387,143,52,314
12.1021692270436,138,56,314
12.0021539733499,146,64,314
12.0021539733499,132,64,314
12.0941390764287,132,64,314
12.1021692270436,137,68,315
12.1054202735799,128,68,314
12.0941390764287,142,76,314
12.0289151630561,129,72,314
12.1001033053441,128,76,314
12.0528378401105,124,76,314
11.9929479278449,113,84,314
12.0211355536821,124,84,314
12.0211355536821,122,80,314
12.0211355536821,117,88,315
12.0683718868785,127,80,314
12.0528378401105,119,76,314
11.9955199970656,121,96,314
12.0920800526626,111,96,313
