Bmag,monomers,tetramers,npanels
40.1265024640823,386,8,400
39.9906051467091,389,4,400
40.096809099977,388,8,400
39.8838626514534,388,8,400
40.0805850755699,387,8,400
40.0232095164793,390,8,400
39.89558872858,388,8,400
39.8906317322752,386,8,400
40.0322832224194,392,4,400
40.0532308309829,390,4,400
40.243291366388,389,4,400
39.987242965726,388,8,400
40.2504658358136,384,8,400
40.2670994733914,387,0,400
39.9786042777884,386,8,400
40.087556672863,386,8,400
39.8838626514534,386,8,400
39.9774799105696,388,8,400
40.1514395756865,390,4,401
39.8044017666388,390,8,400
40.0655475439935,390,8,400
40.0223262692213,389,4,400
40.2161062262373,389,4,400
40.1855819915551,386,4,400
39.9800012506253,386,8,400
39.8004384397961,386,8,400
40.1323373353708,386,8,400
39.9776099835896,388,8,400
40.096809099977,389,4,400
39.8228000020089,388,8,400
40.0775747769248,386,8,400
39.8044017666388,388,8,400
39.8044017666388,390,8,400
40.0694796572154,390,8,400
40.0322832224194,391,4,400
40.0532308309829,389,4,400
40.2341596159284,386,8,400
40.1514495379681,388,8,400
40.0757906971279,388,8,400
40.1242171263191,386,8,400
39.9786042777884,386,8,400
40.087556672863,390,8,400
39.8753507821561,390,8,400
39.9785905204273,390,8,400
40.1419531164093,390,8,400
39.7979710538113,390,8,400
40.0694796572154,388,8,400
40.0322832224194,388,8,400
40.2110693715052,388,8,400
40.2341596159284,384,8,400
39.9800012506253,390,8,400
40.2464271706198,388,8,400
40.1323373353708,386,8,400
39.9786042777884,390,8,400
40.087556672863,388,8,400
39.8763212947233,389,4,400
40.0775747769248,388,8,400
40.1324669064836,390,8,400
39.8044017666388,392,4,400
40.0694796572154,388,8,400
40.0232544903585,388,8,400
40.0472945403307,389,4,400
40.2341596159284,386,8,400
39.9965623522822,386,8,400
40.2504658358136,388,8,400
40.1323373353708,386,8,400
39.9786042777884,388,8,400
40.1801157290519,386,8,400
39.8828898150573,388,8,400
39.9774799105696,384,8,400
40.1419531164093,386,8,400
40.0740826470176,392,8,400
40.2776923370741,390,8,400
40.0806037878673,391,4,400
40.2161062262373,384,8,400
40.1855819915551,384,8,400
39.9899637409188,388,8,400
40.1514495379681,388,8,400
39.8792176452849,388,8,400
39.8662187823225,387,4,400
39.9405570817434,389,4,400
39.8294426272826,388,4,400
40.0805850755699,386,4,400
40.0211569048172,391,4,400
39.805630255028,393,0,401
40.0694796572154,391,4,400
40.0332112126919,392,0,400
40.0612780624882,388,8,400
40.2291063783425,388,8,400
39.9865840001368,390,8,400
40.2504658358136,388,8,400
40.1242171263191,389,4,400
39.9776099835896,388,8,400
40.096809099977,388,8,400
39.8828898150573,388,8,400
39.9795647800223,389,4,400
40.1419531164093,390,8,400
39.7979710538113,391,4,400
40.0694796572154,391,4,400
40.0232544903585,388,8,400
40.0553429644536,388,8,400
40.2341596159284,386,8,400
39.9865840001368,388,8,400
40.2504658358136,389,0,400
40.1242171263191,388,8,400
39.9786042777884,388,8,400
40.096809099977,389,4,400
39.8828898150573,388,8,400
39.9795647800223,388,8,400
40.1324669064836,392,8,400
39.7979710538113,388,8,400
40.0734138800277,388,8,400
39.9622747100312,388,8,400
40.0553429644536,388,8,400
40.2341596159284,388,8,400
39.9965623522822,388,8,400
40.2504658358136,388,8,400
40.1183810740164,390,8,400
39.9786042777884,391,4,400
40.0930168483241,388,8,400
39.8828898150573,388,8,400
39.9795647800223,387,8,400
40.1514395756865,393,4,400
39.805630255028,390,8,400
40.0694796572154,390,8,400
40.0322832224194,390,8,400
40.0553429644536,386,8,400
40.243291366388,388,8,400
39.9859275245679,388,8,400
40.2504658358136,388,8,400
40.1183810740164,390,8,400
39.9686539678283,390,8,400
40.0837635458548,388,8,400
39.8828898150573,386,8,400
39.9774799105696,386,8,400
40.0309442806437,390,8,400
39.7979710538113,388,8,400
40.0694796572154,388,8,400
40.0223262692213,390,8,400
40.0553429644536,384,8,400
40.2382367903963,388,8,400
39.9908301989344,388,8,400
40.2504658358136,390,8,400
40.1323373353708,388,8,400
39.9786042777884,388,8,400
40.0930168483241,388,8,400
39.8753507821561,388,8,400
40.0775747769248,388,8,400
40.0211569048172,390,8,400
39.7979710538113,390,8,400
40.0734138800277,391,4,400
40.0806599247068,390,8,400
40.2161062262373,388,8,400
40.1824090865642,386,8,400
39.9916991386963,388,8,400
40.2504658358136,388,8,400
40.1265024640823,388,8,400
39.8685903939429,388,8,400
39.9285925121335,389,4,400
39.8294426272826,386,8,400
40.0775747769248,390,8,400
40.0309442806437,390,8,400
39.7992022533116,390,8,400
40.2776923370741,390,8,400
40.0806599247068,388,8,400
40.2161062262373,388,8,400
40.1824090865642,388,8,400
39.9916991386963,388,8,400
40.2504658358136,390,8,400
40.1183810740164,390,8,400
39.8662187823225,386,8,400
39.9285925121335,386,8,400
39.8294426272826,388,8,400
40.0680383847276,388,8,400
40.0309442806437,390,8,400
39.806863729764,391,4,400
40.0734138800277,388,8,400
39.9600613112643,388,8,400
39.8510351183003,386,8,400
40.1056816423808,388,4,400
39.9817370808223,388,8,400
40.26365358484,388,8,400
40.1265024640823,387,4,400
39.8662187823225,388,8,400
39.9285925121335,391,4,400
39.8228000020089,388,8,400
40.0775747769248,384,8,400
40.0211569048172,388,8,400
39.805630255028,390,8,400
39.8953643923702,390,8,400
40.0232544903585,389,4,400
40.0472945403307,388,8,400
40.2341596159284,386,8,400
39.9817370808223,388,8,400
40.2504658358136,390,8,400
40.1183810740164,388,8,400
40.0605504205821,390,8,400
40.0892267323779,388,8,400
39.8753507821561,388,8,400
40.0775747769248,386,8,400
40.1419531164093,388,4,400
40.0775061599396,393,4,401
40.2776923370741,391,4,400
40.0074618040185,390,8,400
40.1245685335058,388,8,400
39.9026039250573,390,8,400
39.9935207252375,388,8,400
40.1514495379681,388,8,400
39.8792176452849,388,8,400
40.057659691999,390,8,400
39.9361352661972,388,8,400
40.0252632720885,388,8,400
40.2077455224737,388,8,400
39.9779264094575,390,8,400
39.813290494507,390,8,400
40.0642209458764,390,8,400
40.0806599247068,388,8,400
40.2161062262373,388,8,400
40.2382367903963,391,4,400
39.9817370808223,388,8,400
40.2596137587036,389,4,400
40.1265024640823,388,8,400
39.8709643725857,389,4,400
39.9361352661972,388,8,400
39.8153249390232,386,8,400
40.0775747769248,390,8,400
40.0211569048172,388,8,400
40.0775061599396,390,8,400
39.8881498693534,390,8,400
39.8832809583164,388,8,400
39.9698136097731,388,8,400
