Bmag,monomers,tetramers,npanels
40.0635120776998,344,4,371
40.1226145708377,343,4,366
40.0848562427259,342,4,371
40.088801428828,336,4,362
40.0807647132636,343,4,375
40.0983353769206,342,4,371
40.0790843208774,342,4,374
40.0802557377071,340,4,372
40.0903604373919,345,0,371
40.0857904998766,347,4,373
40.0759903183939,347,4,366
40.1277958527502,341,4,371
40.1369667513628,343,4,367
40.0922236848993,340,4,375
40.0876664324577,339,4,368
40.0963950998092,341,4,367
40.0757308105542,337,4,365
40.1386596687034,343,4,370
40.0939421858215,341,4,362
40.0839169742679,344,4,375
40.0802607276949,341,4,365
40.0939421858215,340,4,372
40.0723870015251,339,4,369
40.1266058868676,340,4,367
40.0956656011594,344,4,369
40.1324930698306,341,4,369
40.0823864060013,334,4,370
40.0895522549205,342,4,377
40.1075778376107,345,4,365
40.1289982431658,340,4,378
40.1289982431658,340,4,376
40.0884222687798,344,4,376
40.0912421857941,346,4,380
40.1324930698306,337,4,371
40.1294268586034,344,4,372
40.0914479658692,346,4,375
40.1294268586034,346,4,371
40.0755898272253,346,4,371
40.0984488478046,345,4,372
40.13419115916,343,4,369
40.0824450352021,341,4,369
40.0804503467713,342,4,368
40.0947191036426,343,4,371
40.0613891421653,339,4,367
40.0944597170232,343,4,374
40.1263305075358,344,4,369
40.059621815489,342,4,369
40.1354132905094,347,4,374
40.1263305075358,351,4,378
40.0964649314625,351,4,365
40.1263305075358,345,4,372
40.0864889956704,344,4,365
40.1354132905094,346,4,369
40.0853152663167,351,4,380
40.0982156710246,345,0,372
40.1390607762563,346,4,380
40.0920765239218,344,4,375
40.0853152663167,341,4,370
40.0864889956704,345,4,370
40.0785191842214,348,4,376
40.1296162453617,342,4,375
40.1271192586759,344,4,375
40.0755411691471,340,4,386
40.1296162453617,348,4,379
40.1314402931168,343,4,377
40.0872411123539,342,4,383
40.0785191842214,347,4,378
40.1366478420907,346,4,381
40.1351429547722,349,4,381
40.0864889956704,346,4,382
40.1329042059007,348,4,379
40.1259841000816,347,4,373
40.0882077424272,342,4,384
40.1391579383524,345,4,374
40.1326799503846,343,4,380
40.1329042059007,346,4,375
40.0991396416432,344,4,380
40.0788485363539,350,4,374
40.124861370477,345,4,380
40.1287141583181,342,4,377
40.1423479632171,346,4,381
5.0093612367247,321,4,389
5.00145978690222,260,4,386
4.9956180798776,233,8,375
5.00404836107726,194,8,383
4.99064124136368,189,8,388
5.02254915356734,182,8,385
5.01055885106642,173,8,387
4.99812965017915,169,12,375
5.0093612367247,158,20,385
5.00145978690222,157,20,385
5.01614393732875,149,28,382
5.01198563445667,143,32,385
5.01614393732875,139,36,381
5.01055885106642,134,32,385
5.00404836107726,133,28,390
5.0093612367247,131,28,386
5.00404836107726,135,36,386
4.99812965017915,130,36,380
5.0093612367247,127,36,384
4.99812965017915,129,36,390
5.01614393732875,118,36,383
4.99417660881151,121,36,389
5.02412181380985,117,40,384
5.01400039888311,119,48,386
5.01055885106642,115,48,388
5.01466848355901,111,48,390
5.0048976013501,113,44,385
5.00569675469859,108,48,383
5.03063614267619,109,48,385
4.99916993109856,112,48,388
5.01597448159378,108,48,388
4.99417660881151,108,52,383
4.99592834216024,109,52,387
5.00404836107726,106,48,382
4.99159293212097,105,52,385
5.01614393732875,102,52,388
4.99417660881151,101,48,385
4.99124233032218,96,52,383
5.00404836107726,99,50,388
4.99916993109856,93,56,383
5.01614393732875,100,52,381
5.00404836107726,89,56,376
4.99916993109856,91,58,385
5.01078836112642,86,60,381
5.00145978690222,95,56,381
5.01614393732875,96,56,385
5.00503746239726,92,60,382
4.99916993109856,89,64,388
5.0091516247764,93,64,382
4.99417660881151,85,60,381
5.01078836112642,86,62,385
4.99417660881151,93,60,384
5.01078836112642,88,60,383
5.01400039888311,90,54,381
4.99588830940004,87,62,385
5.01078836112642,89,64,381
4.99324543758866,87,64,387
5.01614393732875,87,68,383
4.99417660881151,85,68,383
4.99916993109856,84,70,386
5.0091516247764,88,70,390
4.99417660881151,87,66,387
5.01614393732875,88,68,385
5.0091516247764,82,64,387
4.99265460451652,86,66,380
5.00503746239726,85,70,387
4.99324543758866,84,70,385
5.01614393732875,75,70,381
4.99772948447593,77,64,382
4.99265460451652,79,64,385
5.0091516247764,79,64,385
5.0091516247764,72,64,389
4.98688279389039,68,64,383
5.02101583347434,74,64,383
4.9989598918175,76,64,387
5.01008981955414,74,68,387
4.99772948447593,80,64,389
5.02880701558531,68,70,379
5.00503746239726,71,68,388
4.99772948447593,74,68,389
5.00692520415474,71,64,385
4.99772948447593,72,72,381
4.99588830940004,71,68,388
5.02410190979443,74,72,384
5.00024999375031,70,72,385
5.03358719006634,69,68,385
5.00716486646885,70,72,382
5.02884678629206,77,64,380
5.00776397207376,73,72,388
5.0091516247764,76,68,387
5.01008981955414,72,72,384
5.04176556376831,69,72,382
4.99155286459034,72,72,388
5.02729549559204,74,68,387
4.99772948447593,71,68,383
5.03063614267619,72,72,384
4.99772948447593,74,72,381
4.99375610137299,76,72,390
5.0091516247764,71,72,384
4.99324543758866,75,68,384
5.01614393732875,70,74,390
5.00129983104393,74,72,384
4.99375610137299,79,72,386
5.0091516247764,72,68,392
5.00716486646885,71,74,384
5.01008981955414,72,72,387
5.00604634417222,73,68,388
4.99375610137299,76,74,388
5.00776397207376,77,74,388
4.99324543758866,72,68,383
5.01614393732875,68,74,382
5.00604634417222,68,72,386
4.99375610137299,64,74,387
5.00307905194391,69,68,385
5.01231483448516,68,68,384
5.00024999375031,64,72,378
5.00776397207376,65,72,389
4.9989598918175,66,72,383
4.98727380439454,69,68,384
5.00604634417222,66,72,382
5.00716486646885,69,72,382
5.01008981955414,63,68,385
5.00604634417222,67,68,383
5.00136981236141,68,68,387
5.01008981955414,64,72,389
5.00707499444536,71,68,388
4.99155286459034,71,74,385
5.00776397207376,64,68,381
5.00307905194391,61,72,384
5.0180573930556,64,68,385
5.00639590923451,65,74,385
4.9989598918175,68,72,381
5.0180573930556,68,72,386
5.00707499444536,66,72,381
4.99196354153353,65,74,389
5.00849278725646,67,72,382
4.99196354153353,73,74,380
5.01008981955414,65,74,380
5.01231483448516,69,70,383
4.99489739634359,68,68,384
5.0180573930556,68,72,384
5.00129983104393,66,70,389
5.01886441339074,62,72,388
4.99712917583686,65,68,386
5.02439051030073,66,72,386
5.00849278725646,60,74,387
5.00776397207376,61,74,383
5.01008981955414,63,74,389
5.0251467640259,61,70,384
5.0005699675137,61,72,381
5.01008981955414,60,74,383
5.00468780245082,62,72,387
5.02937371846635,59,72,388
