Bmag,monomers,tetramers,npanels
0.0223606797749979,118,84,401
0.014142135623731,131,84,400
0.0223606797749979,125,84,400
0.01,124,84,400
0.014142135623731,128,76,400
0.014142135623731,125,84,400
0.014142135623731,121,84,400
0.0223606797749979,123,84,400
0.014142135623731,108,84,401
0.0223606797749979,128,78,400
0.014142135623731,125,84,400
0.0223606797749979,123,76,400
0.014142135623731,129,80,400
0.014142135623731,115,84,400
0.0223606797749979,122,76,401
0.02,110,84,401
0.014142135623731,125,76,400
0.0223606797749979,125,60,401
0.0223606797749979,130,72,401
0.014142135623731,126,76,400
0.01,118,72,400
0.014142135623731,122,88,400
0.0223606797749979,112,86,400
0.014142135623731,119,84,400
0.014142135623731,129,68,400
0.014142135623731,120,80,400
0.014142135623731,130,80,400
0.02,114,82,401
0.014142135623731,114,84,401
0.0223606797749979,125,80,400
0.014142135623731,124,76,400
0.0223606797749979,121,86,400
0.014142135623731,125,76,400
0.014142135623731,114,88,400
0.014142135623731,123,76,400
0.014142135623731,117,84,400
0.014142135623731,124,76,401
0.0223606797749979,124,76,400
0.014142135623731,121,80,400
0.0223606797749979,115,72,400
0.014142135623731,124,78,400
0.01,124,80,400
0.014142135623731,115,82,400
0.01,123,68,400
0.014142135623731,120,70,400
0.0223606797749979,119,86,400
0.014142135623731,114,72,400
0.014142135623731,125,76,400
0.014142135623731,122,76,401
0.014142135623731,125,76,400
0.014142135623731,126,80,400
0.0223606797749979,118,84,402
0.0223606797749979,117,92,400
0.0223606797749979,114,86,400
0.0223606797749979,115,80,400
0.014142135623731,121,88,401
0.014142135623731,118,80,400
0.014142135623731,127,72,400
0.0223606797749979,123,76,400
0.0223606797749979,129,76,400
0.0223606797749979,114,76,400
0.0223606797749979,134,72,401
0.0223606797749979,119,76,400
0.0223606797749979,115,76,400
0.0223606797749979,124,80,400
0.0223606797749979,121,88,400
0.0223606797749979,128,74,401
0.01,120,70,401
0.0223606797749979,123,72,401
0.014142135623731,117,88,400
0.014142135623731,115,88,401
0.014142135623731,128,76,400
0.014142135623731,124,80,401
0.0223606797749979,115,68,400
0.014142135623731,121,72,400
0.014142135623731,120,76,400
0.014142135623731,119,88,400
0.01,138,68,401
0.014142135623731,114,90,400
0.0223606797749979,128,80,400
0.014142135623731,120,76,400
0.014142135623731,116,80,401
0.014142135623731,121,76,400
0.014142135623731,121,90,401
0.014142135623731,130,72,400
0.0223606797749979,133,80,400
0.01,129,84,400
0.014142135623731,132,84,400
0.014142135623731,123,80,400
0.014142135623731,121,76,400
0.014142135623731,116,80,400
0.0223606797749979,119,80,400
0.014142135623731,129,76,401
0.014142135623731,120,86,400
0.014142135623731,122,72,402
0.014142135623731,140,72,400
0.014142135623731,125,80,400
0.014142135623731,127,76,400
0.01,113,78,401
0.0223606797749979,118,68,400
0.014142135623731,117,76,400
0.0223606797749979,129,78,401
0.014142135623731,117,84,401
0.0223606797749979,130,60,400
0.0223606797749979,131,76,400
0.014142135623731,113,76,400
0.014142135623731,127,80,400
0.014142135623731,121,72,400
0.014142135623731,118,82,400
0.01,123,80,400
0.014142135623731,127,76,400
0.014142135623731,114,82,400
0.0223606797749979,109,80,400
0.014142135623731,123,78,401
0.0223606797749979,123,76,400
0.014142135623731,128,68,400
0.0223606797749979,126,76,400
0.014142135623731,124,76,400
0.014142135623731,132,76,402
0.014142135623731,118,76,400
0.0223606797749979,112,72,400
0.014142135623731,110,84,401
0.014142135623731,117,80,400
0.014142135623731,128,72,401
0.014142135623731,115,80,400
0.014142135623731,116,86,400
0.02,120,82,400
0.0223606797749979,113,84,400
0.02,116,90,400
0.02,125,76,401
0.0223606797749979,118,78,400
0.0223606797749979,117,76,400
0.0223606797749979,117,80,400
0.014142135623731,124,84,400
0.0223606797749979,126,72,400
0.01,122,82,401
0.014142135623731,115,80,400
0.014142135623731,116,80,400
0.014142135623731,111,76,400
0.014142135623731,124,80,400
0.014142135623731,119,72,401
0.014142135623731,118,82,401
0.0223606797749979,119,80,400
0.014142135623731,126,68,400
0.0223606797749979,119,76,400
0.01,127,70,400
0.014142135623731,115,80,400
0.01,121,78,400
0.014142135623731,125,80,400
0.014142135623731,122,70,400
0.014142135623731,133,80,401
0.0223606797749979,127,90,401
0.0223606797749979,133,80,400
0.014142135623731,127,72,400
0.014142135623731,123,80,402
0.014142135623731,119,68,400
0.0223606797749979,126,68,400
0.0223606797749979,123,68,400
14.0375781386961,126,72,400
13.9801645197759,117,84,400
14.0618668746365,139,68,400
13.9883415743254,123,84,400
14.0097573141008,115,80,400
14.1040703344815,148,72,400
14.0401282045429,132,84,400
14.0536294244583,126,88,400
13.9885238677996,152,78,400
14.002928265188,140,76,400
14.057044497333,147,68,400
13.9654036819564,146,84,400
13.9409648159659,131,80,400
13.9692698449132,162,76,400
13.9941273397093,158,80,401
14.0618668746365,162,76,401
14.0125979033154,155,80,400
14.0148849442298,141,80,400
14.1040703344815,164,80,400
14.0401282045429,161,84,400
14.0573966295328,160,84,400
13.9951170055845,160,80,401
14.0344290941955,179,76,400
14.016436779724,160,84,400
13.9253043054721,172,76,400
13.9973211722815,160,80,400
14.0101748739978,177,72,400
14.0432368063777,185,88,400
14.0471527364089,160,84,400
13.9859715429426,177,76,400
14.0918416113722,162,84,401
14.0610277007052,173,72,400
14.0094610888499,175,80,401
14.0007321237141,167,76,400
13.9575821688429,175,80,400
14.002928265188,189,68,400
14.016436779724,189,76,400
13.9189151876143,194,76,400
13.9973211722815,197,76,400
13.9865363832509,186,84,400
13.9941273397093,189,84,400
14.0618668746365,190,76,401
13.9877088903079,193,64,401
14.0878848660826,172,84,400
14.0691008952243,189,84,401
14.0084010507981,190,76,400
14.0628944389126,186,84,400
13.9951170055845,191,76,400
14.0439346338553,187,72,400
14.0262396956561,198,80,400
13.9253043054721,197,84,400
13.9973211722815,191,84,400
13.9865363832509,204,80,400
14.0519109020802,190,80,400
14.0524802081341,192,80,400
13.9859715429426,193,80,400
14.0918416113722,198,76,401
14.0610277007052,190,84,401
14.0183451234445,206,76,400
14.002928265188,202,84,400
13.9565934238983,193,76,400
13.9931733355948,193,84,401
14.057044497333,195,72,400
13.9654036819564,198,84,400
13.9973211722815,197,68,400
13.9692698449132,211,76,400
13.9941273397093,199,84,400
14.0618668746365,191,76,400
13.9760115912946,195,72,401
14.0918416113722,192,80,401
14.1040703344815,199,84,400
14.0401282045429,200,76,400
14.0628944389126,209,72,401
13.9876016528925,191,80,400
14.0439346338553,195,80,400
14.016436779724,193,84,400
13.9253043054721,202,72,400
14.0012892263534,193,68,400
13.9873550037167,200,80,400
14.0482169687117,195,76,400
14.0524802081341,202,80,401
13.9859715429426,199,72,400
14.0918416113722,201,72,400
14.0610277007052,200,84,400
14.0183451234445,193,88,400
14.0007321237141,196,76,400
13.9951170055845,198,76,400
14.002928265188,190,80,400
14.0665631907726,196,72,401
13.9654036819564,201,76,400
13.9973211722815,201,76,400
13.9692698449132,208,72,401
13.9860251680025,193,76,400
14.0659944547124,198,76,400
13.9883415743254,196,72,400
14.0826595499572,203,68,401
14.1040703344815,195,80,400
14.0401282045429,191,88,400
14.0628944389126,217,72,401
13.9951170055845,195,72,400
14.0833696251998,203,76,400
14.005816648807,201,84,401
14.0116023352078,211,72,400
14.0887366360508,199,80,400
14.0101748739978,191,68,400
14.0183094558509,205,76,400
13.9527810847874,198,72,400
13.9768415602381,204,68,400
14.0567599396162,199,72,400
13.9667068416288,215,52,400
13.9652855323477,199,68,401
14.0007321237141,199,76,400
13.9565934238983,199,84,400
14.002928265188,191,76,400
14.057044497333,203,76,400
13.9721508723603,206,84,400
13.9409648159659,200,72,400
13.9692698449132,210,80,400
13.9860251680025,202,72,400
14.0618668746365,202,80,401
13.9877088903079,206,64,400
14.0097573141008,203,72,401
14.1040703344815,215,64,402
14.0401282045429,195,76,400
14.0628944389126,191,76,400
13.9951170055845,203,80,400
14.0344290941955,197,84,400
14.057044497333,197,72,400
13.9253043054721,196,72,400
14.0012892263534,201,80,400
14.0101748739978,203,76,400
14.0432368063777,205,72,400
14.044020079735,203,76,400
13.9859715429426,203,80,401
14.0918416113722,223,68,400
14.0610277007052,214,84,401
14.0084010507981,201,64,400
14.0007321237141,196,68,400
13.9500322580272,209,72,401
14.0408333086039,198,80,400
14.0262396956561,200,76,400
13.926611217378,216,64,400
14.0012892263534,206,72,400
13.9865363832509,206,72,401
13.9882700860399,203,84,400
14.0524802081341,207,80,400
13.9859715429426,205,68,400
14.0097573141008,200,72,400
14.0691008952243,216,68,400
14.0084010507981,216,80,401
14.0628944389126,211,84,400
13.9951170055845,204,72,400
14.0833696251998,204,76,400
14.0064270961584,210,72,400
14.016707887375,215,76,400
14.0835577891384,210,64,400
14.0102284064179,207,80,400
14.0432368063777,217,72,400
14.0524802081341,198,84,400
13.9859715429426,214,64,401
14.0826595499572,212,72,400
13.9808333084977,208,80,400
13.9676805519027,206,68,400
14.0007321237141,196,72,400
13.9565934238983,203,84,401
14.002928265188,203,60,400
14.057044497333,202,76,400
13.9253043054721,219,68,400
14.0012892263534,210,76,400
13.9865363832509,215,72,400
13.9860251680025,217,84,400
14.0618668746365,217,68,400
13.9883415743254,203,80,400
14.0097573141008,216,68,400
14.0610277007052,211,72,400
14.0194044096031,210,80,400
14.0628944389126,207,72,400
13.9876016528925,210,72,400
14.0854002428046,204,60,400
13.9986427913566,204,80,400
14.057044497333,208,76,400
13.9654036819564,211,64,400
13.9409648159659,204,80,400
13.9692698449132,207,84,400
13.9208333083907,207,76,400
14.0618668746365,201,80,400
13.9877088903079,207,64,400
14.0183451234445,203,80,400
14.1092345646389,206,84,401
14.0401282045429,198,68,401
14.0792116256558,205,72,401
14.0439346338553,206,76,400
14.0144639569268,204,72,400
13.9189151876143,202,76,400
14.0012892263534,200,76,400
13.9873550037167,196,84,400
13.9882700860399,203,84,401
14.0524802081341,217,64,401
13.9859715429426,202,80,400
14.0183451234445,203,84,400
14.0610277007052,210,84,400
14.0084010507981,203,80,400
14.0628944389126,206,84,400
13.9565934238983,211,88,400
14.0439346338553,200,88,400
14.016436779724,205,84,400
13.926611217378,204,68,400
14.0012892263534,196,88,400
13.9865363832509,198,84,401
13.9941273397093,206,84,400
14.057812774397,208,72,400
13.9859715429426,196,84,400
14.0183451234445,206,80,400
14.0551271783645,208,72,400
14.0084010507981,206,80,400
14.0536294244583,200,76,400
13.9951170055845,200,76,400
14.002928265188,202,84,400
14.016436779724,216,72,400
13.9189151876143,207,72,400
13.9921120635878,203,64,400
13.9873550037167,209,68,400
13.9882700860399,211,68,400
14.0524802081341,203,84,400
13.9883415743254,198,76,400
14.0826595499572,207,72,400
14.0610277007052,202,84,400
14.0084010507981,206,84,400
14.0628944389126,210,64,400
13.9951170055845,206,72,400
14.002928265188,203,76,400
14.057044497333,201,80,400
13.958022782615,200,88,400
14.0012892263534,215,64,401
13.9768415602381,204,76,400
13.9882700860399,215,76,400
14.0618668746365,206,84,401
13.9877088903079,213,64,400
14.0826595499572,199,80,400
14.0610277007052,211,80,400
14.0401282045429,199,80,401
14.0628944389126,206,60,401
13.9876016528925,207,72,400
14.0439346338553,206,84,400
14.016436779724,208,68,400
13.9654036819564,206,84,400
14.0012892263534,202,80,400
13.9865363832509,195,84,400
13.9860251680025,210,76,400
14.0493558571203,197,84,400
13.9760115912946,202,72,400
14.0918416113722,206,72,400
14.0610277007052,202,80,400
14.0194044096031,205,76,401
14.0628944389126,205,80,400
13.9565934238983,208,76,400
14.0924731683264,215,68,400
14.005816648807,205,72,400
14.0891802458482,213,76,400
14.0887366360508,214,64,400
13.9807009838563,199,76,400
14.0275764121961,205,80,400
13.9603008563569,203,84,400
13.9768415602381,196,76,400
14.0567599396162,203,76,400
13.930412772061,215,72,400
14.0209129517304,213,80,401
14.0180776142808,211,76,401
14.0301568059662,213,76,400
14.002928265188,216,76,400
14.057044497333,213,72,401
13.926611217378,216,72,400
14.0012892263534,205,84,400
13.9670827304774,207,76,400
13.9941273397093,208,76,400
14.0618668746365,206,88,400
13.9877088903079,208,72,400
14.0183451234445,207,88,401
14.1126361818053,215,72,400
14.0183451234445,212,72,400
14.0628944389126,204,76,400
13.9942023709821,205,68,401
14.0769456914488,199,80,400
14.0833696251998,205,72,400
14.0095181930001,212,76,401
14.016707887375,196,76,400
14.0508006889287,214,76,400
13.9906433018643,209,88,400
14.0275764121961,216,76,401
13.9668929973706,199,80,400
13.9670827304774,202,88,401
14.0472488409653,207,76,401
13.930412772061,212,80,400
14.0117272311446,200,88,400
14.0769456914488,216,80,400
14.0161942052756,203,80,400
14.057044497333,211,68,401
13.958022782615,210,84,400
13.9409648159659,192,84,400
13.9670827304774,209,88,400
13.9208333083907,202,88,400
14.0659944547124,207,68,400
13.9877088903079,205,68,400
14.0097573141008,207,80,400
14.1040703344815,210,76,400
14.0301282959209,210,68,400
14.0829116307673,200,80,400
13.9876016528925,206,76,401
14.0344290941955,211,76,402
14.005816648807,207,72,400
14.0116023352078,211,84,400
14.0835577891384,209,80,401
14.0101748739978,207,76,400
14.0519109020802,217,80,400
14.057812774397,207,80,400
13.9768415602381,209,68,400
14.0567599396162,214,76,400
14.0610277007052,212,76,400
13.9676805519027,206,76,400
14.0007321237141,204,72,400
13.9500322580272,210,80,400
14.0344290941955,210,76,400
14.016436779724,203,76,400
13.9189151876143,207,76,400
13.9433783567685,201,76,400
13.9670827304774,196,84,400
13.9882700860399,207,72,401
14.0659944547124,214,72,400
13.9877088903079,200,72,400
14.0826595499572,205,76,400
14.1040703344815,210,72,400
14.0084010507981,211,72,400
14.0591358198148,207,64,400
13.9876016528925,198,76,400
14.0439346338553,206,64,400
14.016436779724,213,72,400
13.926611217378,209,76,400
14.0012892263534,211,80,401
13.9865363832509,215,76,400
14.0432368063777,217,72,400
14.0524802081341,211,72,400
13.9868688418817,218,60,400
14.0918416113722,205,76,400
14.0691008952243,222,48,400
13.9676805519027,207,76,401
13.9985427813041,207,68,400
13.9565934238983,209,64,400
14.0007321237141,204,76,400
14.057044497333,202,76,400
13.958022782615,209,80,400
14.0052632963468,209,68,400
13.9865363832509,201,80,400
13.9941273397093,216,80,400
14.0618668746365,214,72,400
13.9769095296492,214,76,400
14.0918416113722,212,64,401
14.1040703344815,214,84,400
14.0084010507981,204,76,400
14.0591358198148,208,76,400
14.0017141807709,208,64,400
14.0907416412338,209,72,402
13.9995607073936,198,84,400
14.0891802458482,205,68,400
13.958022782615,215,64,401
13.9433783567685,208,72,400
13.9746627866292,219,72,401
13.9208333083907,207,72,400
14.0125408117158,213,80,401
14.0106031276316,220,72,400
13.930412772061,208,76,400
14.0248672007973,214,72,400
14.0180776142808,207,76,401
14.0792116256558,204,84,400
14.002928265188,205,76,400
14.0665631907726,209,68,401
13.958022782615,217,86,400
13.9457986504897,210,76,400
13.9670827304774,203,76,400
13.9860251680025,213,76,400
14.0527577364729,201,72,400
13.9877088903079,199,80,401
14.0183451234445,216,60,400
